"","GeneName","logFC","logCPM","LR","PValue","FDR","Cl19_1_S4","Cl19_2_S5","Cl19_3_S6","Fl_1_S1","Fl_2_S2","Fl_3_S3"
"ENSMUSG00000022339","Ebag9",0.543177201851667,4.75410068796147,29.4909596873719,5.61781317507433e-08,1.96632607681127e-07,5.02745597212588,5.02841095988899,5.05184431689595,4.42430843382551,4.40732038163743,4.39213316331857
"ENSMUSG00000116995","Gm21926",0.593814766051677,4.7448235987523,29.425025518541,5.81222303144097e-08,2.03371046109893e-07,5.25663682221898,4.86583483716258,4.92856527022064,4.38859889278589,4.4120655062424,4.37824235875408
"ENSMUSG00000050244","Heatr1",-0.428310776735245,6.97738096457327,29.4195333918534,5.82871778359626e-08,2.03881833569399e-07,6.66732362698829,6.7199507457213,6.85670589702051,7.1521227313497,7.19813181064686,7.16882422018608
"ENSMUSG00000021483","Cdk20",-0.852519164684614,3.06960104228425,29.4136058103724,5.84657298808523e-08,2.04439860276279e-07,3.19152748027121,2.65298511123656,2.59495769450181,3.26510420147917,3.19542604170348,3.30612920782037
"ENSMUSG00000001998","Ap4e1",-0.652860787647411,5.31471114208246,29.4035621228902,5.87695201230781e-08,2.05435307903404e-07,5.30537255433235,4.76563345183506,4.9731848190635,5.50759831872479,5.64447269731977,5.48345778592043
"ENSMUSG00000033400","Agl",0.462695027171395,5.48811236385779,29.3996303090092,5.88888755416041e-08,2.05785605720645e-07,5.72184431734732,5.72628460155063,5.81166345436947,5.2107506736015,5.13467666902593,5.14744775768729
"ENSMUSG00000078185","Chml",-0.53139999153504,4.95446993968058,29.3950156162526,5.90292704946037e-08,2.0620917404826e-07,4.73543227428673,4.58141903577017,4.69917583271594,5.2107506736015,5.25576587568788,5.08553456310746
"ENSMUSG00000050017","Pitpnb",-0.421034795194252,7.84196743069256,29.3866875322423,5.92834889561599e-08,2.07029961920001e-07,7.55914387596908,7.6333053215914,7.66142597737228,8.03737820075098,8.00080750562719,8.06646972974874
"ENSMUSG00000037894","H2az1",-0.552350757970903,8.11890033636005,29.3765847015914,5.95933553146668e-08,2.08044487261239e-07,7.93437405631168,7.70690038977608,7.65978899894414,8.44756021301465,8.32540762615655,8.4176469553816
"ENSMUSG00000071451","Psmg4",0.74121666436457,3.61594112491571,29.3484776132566,6.0463998852018e-08,2.11015429759851e-07,4.26184315345466,3.96288587120388,3.81919883896634,2.87358174153908,3.1278072001376,3.1316502082853
"ENSMUSG00000060961","Slc4a4",-0.52753605608829,5.82904434023965,29.3427906682289,6.06417015476396e-08,2.11566910073216e-07,5.41269769340655,5.59618699741421,5.84373771707489,6.09603305531388,6.01027069737987,5.89888367473137
"ENSMUSG00000019470","Xab2",-0.434404135915805,6.61034217971056,29.3379650309925,6.07929008892357e-08,2.12025597553016e-07,6.37711342581329,6.42669314563241,6.35478012854127,6.81059289479584,6.78641872725847,6.81330351212916
"ENSMUSG00000027957","Slc35a3",-0.455141584686374,5.95805646899893,29.3025690036024,6.19135550690279e-08,2.15864029658443e-07,5.67902606786372,5.72983463391103,5.76268253543948,6.1541098967711,6.17844956920057,6.14186587376509
"ENSMUSG00000038268","Ovca2",-0.908708227131489,2.77181004824245,29.2900968153553,6.23133423608081e-08,2.17187456885968e-07,2.54081006844084,2.59187434897079,2.33538332442924,2.90365788108882,3.18437403835866,2.88678620712468
"ENSMUSG00000002059","Rab34",0.448925344556765,6.13056490410563,29.2505130241506,6.35993853080274e-08,2.21597987901454e-07,6.26145613322897,6.3572392873282,6.23603323993032,5.93352508359133,5.95606587644279,5.98389473647631
"ENSMUSG00000052609","Plekhg3",-0.53401511217331,7.51821803637099,29.2194317691964,6.46278002002412e-08,2.2510830341944e-07,7.47563529356318,7.18575080879529,7.17664204982154,7.72467648502138,7.75663076711314,7.66935306922821
"ENSMUSG00000015944","Castor2",0.434511794226719,6.37601415127035,29.2123082979452,6.48658385912715e-08,2.25864236805176e-07,6.59369610115283,6.66228790891068,6.66439390472403,5.98858420490039,6.07528259195455,6.09592433902008
"ENSMUSG00000047843","Bri3",-0.618656737836233,4.4693074374913,29.2063376577274,6.50660304908721e-08,2.26484735819442e-07,4.39390154245173,4.33332862564924,4.14978634828379,4.56268891683952,4.59010657370475,4.71084904506337
"ENSMUSG00000037892","Pcdh18",-0.867809601082468,3.87399068379109,29.2057377264827,6.5086180011746e-08,2.26484735819442e-07,3.25245066420489,3.37524281067541,3.75113374965022,4.23147043258281,4.17860667553724,4.12898959811364
"ENSMUSG00000025196","Cpn1",1.19050530425642,2.23713604206607,29.2024897578579,6.51953761307458e-08,2.26791293860643e-07,3.24247378850031,2.74941375018455,2.77510453380185,0.945012625788933,0.521785268068189,1.03160327942268
"ENSMUSG00000034157","Cipc",-0.457385039102703,5.68987544633845,29.1997946427418,6.52861247529195e-08,2.27033502092893e-07,5.50112785334054,5.34159944134483,5.44554962014278,5.95235240782885,5.90816639397252,5.85943105284255
"ENSMUSG00000001056","Nhp2",-0.43631235317487,6.95462114066382,29.185920098828,6.57553085211711e-08,2.28591142074408e-07,6.66312256347086,6.87119986275585,6.70464435853186,7.14301130501601,7.10046100697941,7.15870228331577
"ENSMUSG00000029110","Rnf4",-0.438204804907389,8.47004717964045,29.1852658512355,6.57775158820581e-08,2.28594412614369e-07,8.1246153973832,8.17305717707453,8.18237417248169,8.72905570154387,8.7290786489246,8.7159609089592
"ENSMUSG00000021994","Wnt5a",-1.03120159813234,2.80694208752448,29.1786123134182,6.60037865607856e-08,2.29306626290202e-07,2.45701066174532,2.67279335531086,2.60406589584748,3.04529594945618,3.02624072073326,2.91784606875387
"ENSMUSG00000025504","Eps8l2",-0.447179493086962,8.12551474125953,29.1773907664145,6.6045413066253e-08,2.29377106639468e-07,7.9799343722562,7.85132837029596,7.84068571644374,8.33948975440581,8.32635055639917,8.31219109245739
"ENSMUSG00000014791","Elmo3",-0.5225272564928,5.12022002446385,29.1496985566653,6.69961666772085e-08,2.32580864361803e-07,5.0490814718978,4.70440016249789,4.69491943719792,5.39565404174663,5.39649639363599,5.28632015164089
"ENSMUSG00000026435","Slc45a3",0.868166070717422,2.81357978868345,29.1492650719939,6.70111579615317e-08,2.32580864361803e-07,3.39437229182922,3.27513208289925,3.33595369336427,2.12583405875216,1.9699124161127,1.93162756667335
"ENSMUSG00000026739","Bmi1",-0.429778981473971,6.70788315588401,29.1434838508421,6.72114126730232e-08,2.33200605171829e-07,6.3810976591001,6.44624639333476,6.43863200967788,6.97436022195417,6.98458795158918,6.87445017703646
"ENSMUSG00000032897","Nfyc",-0.516360181159657,4.84407740983998,29.1400916186521,6.73291946377042e-08,2.33533886144137e-07,4.71212515954955,4.68502405721966,4.68422318222633,4.9432222600548,4.97549067062007,5.01726399614441
