"","GeneName","logFC","logCPM","LR","PValue","FDR","Fl_1_S1","Fl_2_S2","Fl_3_S3","Fl_gHira_1_S7","Fl_gHira_2_S8","Fl_gHira_3_S9"
"ENSMUSG00000022607","Ptk2",0.0449819942295477,6.93275691419713,1.5429605701196,0.214177667652103,0.238053509146391,6.96729807844738,6.89787716225775,6.95538042622789,6.91323118802244,6.92590726741618,6.93430522856769
"ENSMUSG00000028603","Scp2",-0.0871041887220274,3.66591900974401,1.5417271169315,0.214360910254006,0.238231886353417,3.76963642758078,3.79964465488235,3.82447882234024,3.50444158716244,3.4592068285412,3.55166049491619
"ENSMUSG00000033960","Jcad",-0.0755836979412667,4.95047343207095,1.53826042026848,0.214876923942292,0.238780014515642,5.0450035613892,5.10094382483853,4.91620265246951,4.90424078475214,4.71936869819395,4.94094537185764
"ENSMUSG00000061759","Armt1",-0.0563383073437594,5.49369814046741,1.53599800597308,0.215214478307786,0.239129736086203,5.52720070313218,5.54650513242442,5.49227928649885,5.45658449992635,5.38672337670525,5.52611678863875
"ENSMUSG00000036636","Clcn7",0.0514751827311809,6.48813204468359,1.53278810838054,0.215694481226718,0.239637644482915,6.52169851598449,6.49423286915939,6.45778948528636,6.57289706110238,6.40841941530265,6.4642109846183
"ENSMUSG00000029111","Nelfa",-0.046082869325341,6.21377023552484,1.52200125069756,0.217316895393925,0.241414535004138,6.26015404445131,6.23489814807647,6.24525661868536,6.17701559387207,6.14647593229313,6.20704499857936
"ENSMUSG00000005299","Letm1",0.0442151655851891,7.13033342947742,1.51817003272782,0.21789663201549,0.242032874331052,7.07834624043745,7.07675135579207,7.17188833496381,7.15131274041005,7.1548110846107,7.1495748729827
"ENSMUSG00000020653","Klf11",0.134422935653897,3.20185784062984,1.51675028640348,0.218111934933614,0.242246323660089,3.19503373372354,3.0149947440686,3.43627190028354,3.26657548650871,3.15583744632275,3.14078973527147
"ENSMUSG00000031156","Slc35a2",0.0823707577592575,4.28633242342141,1.51589530380628,0.218241714467338,0.242364751114731,4.39609603098503,4.17696864794952,4.22942175491078,4.3500963572978,4.26990020166679,4.27648777027084
"ENSMUSG00000028389","Zfp37",0.0738658712849542,4.78640372337508,1.51513080767434,0.218357836879346,0.242467988363372,4.83613275351797,4.82819677891699,4.6345046454189,4.78160644598825,4.79873476349267,4.8153575074156
"ENSMUSG00000031467","Agpat5",-0.0433991142590682,6.55805015862102,1.51006934607704,0.219128505081958,0.243297944607383,6.59316502725351,6.58796891697309,6.55737749593737,6.49158714466784,6.5304690158642,6.57807660811326
"ENSMUSG00000059355","Wdr83os",-0.0523051703533662,6.22668847474643,1.50108503156136,0.220504487550782,0.244799732785699,6.21285533915749,6.15853583227797,6.25060754948006,6.31606382357482,6.17253490162288,6.24366167178217
"ENSMUSG00000079043","Fastkd5",0.0870887883150663,4.03800775994716,1.49958631859033,0.220735024530288,0.245029686333113,4.0346516715105,3.89431923284478,4.11001927621473,4.06107543248722,4.07962442037038,4.05464366000811
"ENSMUSG00000035232","Pdk3",0.0642860244697196,5.82219402568705,1.49818471990195,0.220950883795254,0.245243299666297,5.81778585802526,5.74681172182226,5.91445821289276,5.77193626518181,5.80967233826276,5.8635390391584
